Score,Review
4,Thought it would be a little bigger
2,This is not worth the price. I love my Trader Joe’s canvas bags but this doesn’t even compare. It’s very thin water would go right through it. And it’s small it’s not for a beach bag. I would not buy again it’s way over priced.
5,I've bought this product twice. Both to use for HTV projects. Worked like a dream. Very sturdy and well made product.
5,The tote is roomy and looks good. It accommodates my crocheting projects; however there are no inner pouches. Use your other containers to organize and hold small items. Satisfied.
4,Using this bag for embroidery. Ran 1 item and the results were great. Thought this might have been a little studier and the $$ was a little high for the origin country.
5,Second time ordering these because the quality is sooo nice! Very thick and good material!
5,If your a crafter this take on vinyl perfectly. the only thing i wish it had was a zipper or a snap just to hold it shut but thats not a necessity it is a great size and works like a charm.
5,Our state no longer allows grocery stores to use plastic bags. We have been purchasing sturdy cloth bags for several years. Several features have come to our attention - strength length of the handles washability and closure features. They must be strong enough to carry several 6 packs of drinks with ease. The handles must be long enough to comfortably go on the shoulder when full of items. Inadvertent leaks can cause stains requiring tossing a bag in the washing machine. Closures via magnetic snaps or velcro have proven to be inconvenient when trying to pack our own items quickly. These bags are free of any closure device. The bags can easily be customized with fabric paint to help avoid confusion of ownership in case of a mixup.
5,Well made heavy canvas.
4,I wanted something that was big enough and strong enough to fit books a laptop etc. inside and could be decorated. This fit the bill and for the price you can’t beat it. I had even looked at stores like TJ Maxx and Ross to find a cheap bag like this for a good price but for all the time I spent looking I couldn’t find just a plain one. So save yourself the time and hassle and go straight for this one that will show up at your door in two days.
4,I like the bag. I wished the handles were a tad bit longer; maybe about 2-4 inches longer. It does the job I needed it for.
4,Wanted to try these bags for grocery shopping. I have 2 large heavy canvas bags but needed more and previous source no longer available. These are not as sturdy as I’d like but hope for years of use. They seem strong enough to handle the job.
5,These are much better than the old Kroger in-store reusable bags. Quite heavy and durable handle is strong enough to pack them completely full and the fabric won't get torn by sharp package corners.
5,Thought it was going to be an small sized but it's actually nice and big. Fits a lot. I'm glad I went with this one.
5,I purchased personalized totes for everyone for Christmas. At the last minute a relative who hadn't been home in 8 years decided her and her child would be coming home the day after Christmas. I decided these would suffice to hold their gifts and I'm so glad I did! They are super nice and for the price I paid for one of the others I received 3 of these!! They seem sturdy and look like they would be easy to throw in the wash. I'm going to hit them with some scotchgard prior to filling with gifts in hopes that the white stays white. 
5,The projects turned out great! 
5,I got this to make my mother in law a personalized tote for mother's day and it worked out great. It's just the right size for her to take to the store to go grocery shopping. 
5,These are HUGE and so refined compared to many canvas bags out there. I like that I could buy them three at a time since I put vinyl designs on them for my hobby craft business. These are really classy and smooth. I don't think I'll have any issues with resale even though the price will be higher than the basic cotton canvas bag. I highly recommend. 
5,Super easy to customize and very sturdy! 
3,I chose this bag first because of the ratings and looked like the size that would suit me. It arrived I fell in love with it and it held up pretty much until a month passed and it began ripping along one side???? It isn’t worth the trouble of sending it back I had to switch out to another bag I have that I bought used from a thrift store go figure.
